bugid,when,what,removed,added
1477700,2018-07-25 07:43:59 PDT,CC,,sdaswani
1477700,2018-07-25 07:44:00 PDT,Comment 2 Tag,,mozreview-request
1477700,2018-07-25 09:38:03 PDT,Attachment #8994854  Flags,review?(sdaswani),review?(jh+bugzilla)
1477700,2018-07-25 09:44:25 PDT,Attachment #8994854  Flags,review?(jh+bugzilla),review-
1477700,2018-07-25 09:44:25 PDT,Comment 3 Tag,,mozreview-review
1477700,2018-07-25 12:50:28 PDT,Comment 4 Tag,,mozreview-review
1477700,2018-07-27 10:20:02 PDT,CC,,cchiorean
1477700,2018-07-27 10:20:02 PDT,Whiteboard,,[priority:high]
1477700,2018-07-27 12:51:59 PDT,Whiteboard,[priority:high],--do_not_change--[priority:high]
1477700,2018-07-30 15:26:48 PDT,CC,,moz-ian
1477700,2018-08-03 00:02:29 PDT,Blocks,,1479532
1477700,2018-08-07 02:24:00 PDT,Attachment #8994854  Flags,review-,review?(jh+bugzilla)
1477700,2018-08-07 02:24:01 PDT,Comment 5 Tag,,mozreview-request
1477700,2018-08-07 11:15:21 PDT,Attachment #8994854  Flags,review?(jh+bugzilla),review+
1477700,2018-08-07 11:15:21 PDT,Comment 6 Tag,,mozreview-review
1477700,2018-08-09 01:52:02 PDT,Attachment #8994854  Flags,review+,
1477700,2018-08-09 01:52:02 PDT,Comment 7 Tag,,mozreview-request
1477700,2018-08-10 01:01:39 PDT,Keywords,,checkin-needed
1477700,2018-08-10 01:47:20 PDT,Keywords,checkin-needed,
1477700,2018-08-10 01:47:20 PDT,Flags,,needinfo?(andrei.a.lazar)
1477700,2018-08-14 06:25:17 PDT,Comment 10 Tag,,mozreview-request
1477700,2018-08-14 06:30:45 PDT,Comment 11 Tag,,mozreview-review
1477700,2018-08-14 07:12:13 PDT,Flags,needinfo?(andrei.a.lazar),
1477700,2018-08-14 15:09:01 PDT,Status,NEW,RESOLVED
1477700,2018-08-14 15:09:01 PDT,Resolution,---,FIXED
1477700,2018-08-14 15:09:01 PDT,Target Milestone,---,Firefox 63
1477700,2018-08-14 15:09:01 PDT,Closed,,2018/8/14 22:09
1477700,2018-08-14 15:09:01 PDT,status-firefox63,affected,fixed
1477700,2018-08-14 15:09:01 PDT,Comment 13 Tag,,bugherder
1477700,2018-08-16 05:13:22 PDT,Status,RESOLVED,VERIFIED
1477700,2018-08-16 05:13:22 PDT,CC,,oana.horvath
1477700,2018-08-16 05:13:22 PDT,status-firefox63,fixed,verified
1478017,2018-07-24 07:44:56 PDT,Assignee,nobody,lebedel.delphine.1
1478017,2018-07-24 07:44:56 PDT,relnote-firefox,---,?
1478017,2018-07-25 01:05:56 PDT,Attachment #8994766  Flags,,review?(francesco.lodolo)
1478017,2018-07-25 01:05:56 PDT,Comment 1 Tag,,mozreview-request
1478017,2018-07-25 01:11:23 PDT,Comment 2 Tag,,mozreview-review
1478017,2018-07-25 01:17:18 PDT,Attachment #8994766  Attachment description,"Bug 1478017 - Add 'en-CA'Fennec maemo-locale for multi-locale builds,","Bug 1478017 - Add 'en-CA' Fennec maemo-locale for multi-locale builds,"
1478017,2018-07-25 01:17:18 PDT,Comment 3 Tag,,mozreview-request
1478017,2018-07-25 01:18:07 PDT,Attachment #8994766  Flags,review?(francesco.lodolo),review+
1478017,2018-07-25 01:18:07 PDT,Comment 4 Tag,,mozreview-review
1478017,2018-07-25 07:21:24 PDT,Status,NEW,RESOLVED
1478017,2018-07-25 07:21:24 PDT,Resolution,---,FIXED
1478017,2018-07-25 07:21:24 PDT,Target Milestone,---,Firefox 63
1478017,2018-07-25 07:21:24 PDT,Closed,,2018/7/25 14:21
1478017,2018-07-25 07:21:24 PDT,status-firefox63,---,fixed
1478017,2018-07-25 07:21:24 PDT,Comment 7 Tag,,bugherder
1478017,2018-07-25 09:47:59 PDT,CC,,pascalc
1478017,2018-07-25 09:47:59 PDT,relnote-firefox,?,63+
1478053,2018-07-24 23:33:49 PDT,tracking-firefox63,---,?
1478053,2018-07-24 23:33:49 PDT,status-firefox63,---,affected
1478053,2018-07-25 03:56:44 PDT,Keywords,,regression
1478053,2018-07-25 03:56:44 PDT,CC,,sorina.florean
1478053,2018-07-26 08:38:08 PDT,CC,,cchiorean
1478053,2018-07-26 08:38:08 PDT,Whiteboard,,[priority:high]
1478053,2018-07-27 07:14:26 PDT,CC,,jcristau
1478053,2018-07-27 07:14:26 PDT,status-firefox-esr52,---,unaffected
1478053,2018-07-27 07:14:26 PDT,status-firefox-esr60,---,unaffected
1478053,2018-07-27 07:14:26 PDT,status-firefox61,---,unaffected
1478053,2018-07-27 07:14:26 PDT,status-firefox62,---,affected
1478053,2018-08-01 00:25:40 PDT,CC,,bogdan.surd
